0.0,0.0,0.0,81.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,49.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,179.0,71.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,117.0,51.0,0.0,187.0,0.0,0.0,0.0,43.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,89.0,131.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0
0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,47.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,87.0,107.0,65.0,0.0,0.0,51.0,139.0,0.0,0.0,373.0,0.0,0.0,189.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,139.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,113.0,0.0,55.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,105.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,367.0,181.0,0.0,0.0,0.0,53.0,0.0,135.0,85.0,0.0,79.0,0.0,17.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
0.0,0.0,135.0,0.0,0.0,0.0,19.0,0.0,27.0,304.0,0.0,0.0,0.0,23.0,427.0,346.0,0.0,71.0,43.0,0.0,0.0,0.0,19.0,502.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,135.0,83.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,31.0,109.0,0.0,0.0,0.0,23.0,0.0,0.0,109.0,19.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,3.0,0.0,27.0,0.0,105.0,0.0,0.0
0.0,0.0,0.0,55.0,0.0,0.0,0.0,107.0,49.0,41.0,0.0,0.0,89.0,9.0,0.0,0.0,0.0,65.0,0.0,538.0,125.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,69.0,0.0,307.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,183.0,0.0,129.0,63.0,17.0,0.0,0.0,55.0,0.0,0.0,77.0,137.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,79.0,89.0,135.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,73.0,0.0,0.0,7.0,0.0,3.0,75.0
0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,143.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,61.0,0.0,23.0,0.0,0.0,0.0,0.0,5.0,0.0,119.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,355.0,0.0,0.0,0.0,137.0,0.0
0.0,0.0,0.0,0.0,51.0,63.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,117.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,147.0,0.0,0.0,59.0,0.0,0.0,0.0,31.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,143.0,0.0,0.0,0.0
0.0,0.0,25.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,39.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,137.0,0.0,0.0,0.0,95.0,0.0,0.0,11.0,328.0,0.0,0.0,103.0,0.0,0.0,49.0,0.0,63.0,0.0,0.0,33.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,51.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,69.0,0.0,45.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,47.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,71.0,57.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,145.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,61.0,79.0,0.0,0.0,0.0,0.0,0.0,131.0,143.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,161.0,0.0,0.0,81.0,105.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,77.0,0.0,0.0,0.0,127.0,0.0,0.0,37.0,0.0,0.0,43.0,0.0,382.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,173.0,79.0,0.0,0.0,39.0,111.0,0.0,328.0,0.0,0.0,65.0,115.0,0.0,0.0,0.0,0.0,85.0,191.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,139.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,73.0,0.0,69.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,101.0,65.0,0.0,169.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,135.0,99.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,129.0,0.0,0.0,21.0,0.0,63.0,129.0,17.0,111.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,346.0,45.0,0.0,63.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,85.0,0.0,77.0,0.0,0.0,111.0,0.0,0.0,0.0
0.0,7.0,0.0,75.0,0.0,0.0,59.0,0.0,0.0,145.0,101.0,0.0,0.0,73.0,0.0,0.0,25.0,0.0,29.0,91.0,0.0,83.0,0.0,0.0,45.0,111.0,43.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,73.0,105.0,0.0,0.0,119.0,109.0,418.0,0.0,0.0,109.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,51.0,0.0,145.0,0.0,0.0,0.0,173.0,39.0,0.0,445.0,23.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,149.0,0.0
0.0,0.0,13.0,55.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,49.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,85.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,0.0,71.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,29.0,0.0,33.0,0.0,123.0,177.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,67.0,0.0,0.0,0.0,83.0,0.0,0.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,29.0,0.0,0.0,23.0,0.0,57.0,0.0,0.0,0.0,7.0,5.0,0.0,15.0,0.0,352.0,13.0,97.0,117.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,131.0,0.0,47.0,63.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,11.0,3.0,79.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,85.0,73.0,39.0,0.0,0.0,5.0
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,155.0,169.0,13.0,0.0,141.0
127.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0
0.0,0.0,0.0,115.0,0.0,0.0,0.0,79.0,0.0,77.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,75.0,0.0,0.0,382.0,0.0,87.0,89.0,0.0,0.0,167.0,0.0,0.0,0.0,83.0,0.0,25.0,0.0,9.0,0.0,31.0,0.0,0.0,0.0,159.0,0.0,5.0,89.0,0.0,535.0,41.0,73.0,137.0,27.0,0.0,0.0,0.0,59.0,0.0,0.0,151.0,67.0,0.0,13.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,73.0,0.0,139.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,135.0,175.0,51.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,87.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,29.0,0.0,19.0,197.0,53.0,117.0,0.0,0.0,81.0,0.0,409.0,0.0,0.0,0.0,79.0,0.0,17.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,71.0,171.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,101.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,79.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,69.0,0.0,0.0,71.0,119.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,115.0,97.0,51.0,0.0,0.0,59.0,133.0,0.0,0.0,19.0,0.0,0.0,0.0,83.0,0.0,0.0,21.0,21.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,31.0,0.0,0.0,0.0,0.0,0.0,101.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,171.0,0.0,111.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,39.0,91.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,117.0,0.0,35.0,97.0,77.0,0.0,0.0,0.0,49.0,0.0,57.0,0.0,490.0,0.0,0.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,63.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,77.0,0.0,103.0,0.0,0.0,155.0,0.0,0.0,0.0,17.0,73.0,0.0,45.0,0.0,0.0,0.0,101.0,0.0,0.0,53.0,131.0,0.0,9.0,0.0,47.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,173.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,5.0,55.0,0.0,57.0,159.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,125.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.0,35.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
